text,score
'पोस्टर बॉयज़' एक मनोरंजक फ़िल्म है जिसे देखते हुए आप अपने ठहाके रोक नहीं पाएंगे,1
श्रेयस एक अभिनेता के तौर पर फ़िल्म को बांधे रखते हैं,1
फ़िल्म का कैमरा वर्क और एडिटिंग एकदम सटीक है,1
सिनेमेटोग्राफी उम्दा है,1
अजय देवगन ने शानदार परफॉर्मेंस दिया,1
फ़िल्म के गाने ज़रूर कर्णप्रिय हैं,1
इसी गंभीर मुद्दे पर स्वस्थ्य कॉमेडी ट्रीटमेंट के साथ प्रसन्ना ने एक रोचक फ़िल्म बनाई है,1
'शुभ मंगल सावधान' पूरी तरह से मनोरंजक और जिम्मेदार फ़िल्म है,1
"लेकिन, राइटर्स ने इस फ़िल्म को बहुत ही खूबसूरती से लिखा है",1
"कहीं भी अश्लीलता नज़र नहीं आती, यह वाकई तारीफ के काबिल है",1
कई जगह मेटाफ़र का इस्तेमाल बड़ी ही खूबसूरती से किया गया है,1
अभिनय की बात की जाए तो आयुष्मान खुराना को अपना सुर मिल गया है और वह फ़िल्म दर फिल्म एक नई ऊंचाइयां छू रहे हैं,1
भूमि पेडनेकर ने भी शानदार अभिनय किया है,1
शुभ मंगल सावधान' अपने हर विभाग में एक संपूर्णता लिए हुए है,1
"यह फ़िल्म आपको गुदगुदाएगी, हंसाएगी और सोचने पर मजबूर भी करेगी",1
कुछ गाने आपके पांव को थिरका भी देते हैं,1
कुछ गाने वाकई दिल को छू लेते हैं,1
फ़िल्म 'टॉयलेट: एक प्रेम कथा' निश्चित तौर पर एक ईमानदार प्रयास है,1
ये डायरेक्टर अश्विनी अय्यर तिवारी ने बड़ी ही खूबसूरती से फ़िल्माया है,1
इसी मुद्दे पर फ़िल्म बनाने का प्रयास सराहा जाना चाहिए,1
साथ ही यह फ़िल्म अक्षय कुमार और भूमि पेडनेकर के शानदार परफॉर्मेंस के लिए देखी जा सकती है,1
यूरोप की खूबसूरत यात्रा कराती फ़िल्म आप में प्रेम का एक अलग अहसास जगाती है,1
शाह रुख़-अनुष्का की केमिस्ट्री शानदार है,1
संगीत अच्छा है,1
अनीस बज़्मी ने अपनी फ़िल्म मुबारकां में इस जिम्मेदारी को बखूबी निभाया है,1
वो खुद लेखक भी हैं तो कई सारी चीज़ों को बेहतरीन तरीके से तार्किक बना देते हैं,1
फ़िल्म का प्रोडक्शन बहुत ही ग्रैंड तरीके से किया गया है,1
साथ ही फ़िल्म का संगीत भी काफी अच्छा है,1
कुल मिलाकर मुबारकां एक मनोरंजक मसाला फ़िल्म है,1
"जो आपको कभी गुदगुदाएगी, ठहाके लगवायेगी और कहीं-कहीं आपको भावुक भी कर देगी",1
"मगर मधुर इसे एक इंफोटेनमेंट बनाने में कामयाब हुए हैं , जिसमें इन्फॉर्मेशन भी है और इंटरटेनमेंट भी",1
अभिनय के बारे में बात करें तो कीर्ति कुल्हरी 'इंदु सरकार' के तौर पर पूरी फ़िल्म अपने कंधों पर लेकर चली हैं और सफ़ल भी रही हैं,1
नील नितिन मुकेश भी अपने किरदार में एकदम जंचे हैं,1
तोता रॉय चौधरी नवीन के किरदार को ज़िंदा कर देते हैं,1
मुन्ना माइकल है मनोरंजन का अच्छा पैकेज,1
एेसे में डांस उसको कैसे दूसरे शहरों में लेकर जाता है यह बखूबी दिखाया गया है,1
नवाज ने फौजी की भूमिका में एक नया आयाम छुआ है,1
फिल्म के लीड एक्टर टाइगर श्रॉफ ने शानदार डांस मूव्स किए हैं और उनकी बॉडी भी लाजवाब है,1
ये फिल्म उन दर्शकों के लिए है जो वाकई कुछ हटकर देखना चाहते हैं,1
उन्होंने प्रिडिक्टेबल स्टोरी होते हुए भी दर्शकों को एंगेज करने वाला स्क्रीनप्ले रचा है,1
डांस की बात की जाए तो कोरियोग्राफी कमाल की हुई है,1
इस फिल्म को देखना बिल्कुल भी समय की बर्बादी नहीं है चूंकि यह फिल्म आपको सोचने पर मजबूर करती है,1
अर्पिता भी अपने किरदार में खरी उतरती हैं,1
रवीना टंडन का परफॉर्मेंस लाजवाब है,1
सेकंडहाफ में वो अपना रीदम वापस पा लेते हैं,1
परफॉर्मेंस लेवल पर बात करें तो रणबीर कपूर वैसे ही एक समर्थ अभिनेता है,1
सिनेमेटोग्राफर रवि बर्मन फ़िल्म की ख़ूबसूरती को कई कदम आगे ले जाते है,1
एडिटिंग भी शार्प है,1
प्रीतम का संगीत कमाल का है,1
बच्चों को ये फ़िल्म जरूर पसंद आएगी और साथ ही साथ एक मैसेज भी पूरी मजबूती के साथ फ़िल्म देती है,1
"अनुराग बासु की ‘जग्गा जासूस’ जिंदगी, जादू, रोमांच की रहस्यमयी व पेचीदा कायनात गढ़ने का एक सराहनीय प्रयास है",1
कहानी बड़ी होशियारी से अपनी अपील को बच्चों के मिजाज से उड़ान भरते हुए युवा व परिपक्‍व सोच-अप्रोच का विस्तार प्रदान करती है,1
फिल्म की खूबी कथाभूमि के दिलचस्प प्रयोग हैं,1
फिल्‍म के सभी किरदारों को कलाकारों की सधी हुई अदायगी का साथ मिलता है,1
फिल्म संगीत कहानी की लय में चार चांद लगाता है,1
स्क्रिप्ट की सीमित सीमाओं में उन्होंने बेहतरीन काम किया है,1
छोटे शहरों के लोगों की भोलेपन और मासूमियत को बखूबी उकेरा है,1
उन्होंने किरदार के साथ पूरा न्याय किया है,1
उन्होंने किरदार को शिद्दत से निभाया है,1
गुड्डी के रूप में एक पतिव्रता नारी को तन्‍वी आजमी ने बखूबी चित्रित किया है,1
निर्देशक रवि उदयवार प्रभावी सीन गढ़ने में खासे सफल रहे हैं,1
बैकग्राउंड स्कोर की मदद व कैमरे के एरियल शॉट ने उसे और निखारा है,1
देवकी व डीके के रोल में उन दोनों का काम सराहनीय है,1
अदनान सिद्दीकी की स्‍क्रीन मौजूदगी जादुई है,1
गानों के बोल और सीन के फिल्माने में उपयुक्त गहराई झलकती है,1
सुनील दर्शन ने लकदक लोकेशन को बखूबी कैमरे में कैप्चर किया है,1
वे अपनी भाव-भंगिमाओं से फिल्‍म के कथ्‍य को प्रभावशाली बनाते हैं,1
खास कर जू जू और माटिन बेहद नैचुरल और दिलचस्‍प हैं,1
"बंपी, बलजीत, ओमकार और ईशिता ने मुंबई और दिल्ली की टिपिकल खूबियों-खामियों को दिलचस्प रंग-रूप प्रदान किए हैं",1
थ्रिलर और कॉमेडी को संतुलित करते हुए बीच की राह पकड़ी गई हैं,1
जुगनू की भूमिका में लोग उनके हुनर के नए पहलू से वाकिफ होंगे,1
मराठी मानुष के चरित्र को उन्होंने बखूबी निभाया है,1
यहां कृति सैनन और सुशांत सिंह राजपूत दोनों की तारीफ करनी होगी कि उन्‍होंने बेहिचक सायरा और शिव के किरदारों को निभाया है,1
उनके बीच की केमिस्‍ट्री पर्दे पर दिखती हैं,1
उन्‍होंने सभी किरदारों और उन्‍हें निभा रहे कलाकारों को अपनी तरह से खुलने का मौका दिया है। यही इस फिल्‍म की खूबसूरती है,1
रणवीर शौरी और कल्कि कोचलिन का अभिनय उल्‍लेखनीय है,1
शुटु के किरदार में विक्रांत मैसी प्रभावित करते हैं,1
सिनेमाघर में हर्ष से चिल्लाने का मन करेगा,1
साकेत चौधरी निर्देशित ‘हिंदी मीडियम’ एक अनिवार्य फिल्‍म है,1
वे निजी प्रयास और दखल से घिसे-पिटे और स्‍टॉक दृश्‍यों को अर्थपूर्ण और प्रभावशाली बना देते है,1
फिल्‍म के इस हिस्‍से में कलाकारों का इम्‍प्रूवाइजेशन गौरतलब है,1
किरदार और कलाकार दोनों ही दर्शकों की हमदर्दी हासिल कर लेते हैं,1
सामान्‍य सी पंक्तियों में वे अपने अंदाज से हास्‍य और व्‍यंग्‍य पैदा करते हैं। वे हंसाने के साथ भेदते हैं।,1
ऐसी फिल्में कांसेप्ट और विषय के रूप में अच्छी और आकर्षक लगती हैं,1
निस्संदेह परिणीति चोपड़ा और आयुष्मालन खुराना दोनों ने बेहतरीन अभिनय किया हैं,1
निर्देशक अक्षय राय ने बंगाल की पृष्ठभूमि को अच्छी तरह रचा है,1
पहले ही दृश्य से परिवेश की बारीकी पर उन्होंने ध्यान दिया है,1
आयुष्मान खुराना और परिणीति चोपड़ा दोनों में निखार आया है और आत्मविश्वास बढ़ा है,1
संगीत निर्देशकों ने संगीत की मधुरता और रवानी बनाए रखी हैं,1
‘बाहुबली 2’ भव्‍यता और विशालता में पहली से ज्‍यादा बड़ी और चमकदार हो गई हैं,1
फिल्‍म की एक्‍शन कोरियोग्राफी के लिए एक्‍शन डायरेक्‍टर और कलाकार दोनों ही बधाई और सराहना के पात्र हैं,1
उन्‍होंने लेखक के विजयेन्‍द्र प्रसाद की कल्‍पना को चाक्षुष उड़ान दी है,1
कहानी की दृश्‍यात्‍मक अभिव्‍यंजना श्रेष्‍ठ और अतुलनीय है,1
"दर्शकों को आनंदित भी करती है, क्‍योंकि इसके पहले इस स्‍तर और पैमाने का विजुअल और वीएफएक्‍स नहीं देखा गया हैं",1
फिल्‍म देखते हुए साफ पता चलता है कि लेखक और निर्देशक को पत्रकार और पत्रकारिता की कोई जानकारी नहीं है,1
‘नूर’ में बतौर अभिनेत्री सोनाक्षी सिन्‍हा कुछ नया करती हैं,1
"बहरहाल, विद्या बालन ने बेगम जान के किरदार को तन-मन दिया है",1
उन्होंने उसके रुआब और शबाब को संजीदगी से पर्दे पर उतारा है,1
उनकी संवाद अदायगी और गुस्सैल अदाकारी बेहतर है,1
ललित बहल और आदिल हुसैन ने पिता-पुत्र के किरदार में बगैर नाटकीय हुए संवेदनाओं को जाहिर किया है। दोनों उम्दा कलाकार हैं,1
राजीव की बेबसी और लाचारगी को आदिल हुसैन ने खूबसूरती से व्यक्त किया हैं,1
उन्‍हें इस प्रयास में विफलता हाथ लगी है,1
संजय मिश्रा अपने हाजिरजवाब अंदाज से कबीर भाई को दिलचस्प बना गए हैं,1
कंप्यूटर से बनाई गई इमेजेज काफी असरदार और चमकदार है,1
भविष्य की दुनिया को विस्तार देने के लिए कल्पना का शानदार उपयोग किया हैं,1
"फ़िल्म की जो बात सबसे ज़्यादा प्रभावित करती है, वो है इसका प्रोडक्शन डिज़ाइन, ख़ासकर मैट्रिक्स और रोबोट",1
अदाकारी के लिहाज से पिया बाजपेयी ने जूलिएट के किरदार को बखूबी पर्दे पर पेश किया,1
नई अभिनेत्रियों मे पिया बाजपेयी में ताजगी है। वह किसी की नकल करती नहीं दिखती,1
तापसी पन्‍नू फिल्‍म दर फिल्‍म निखरती जा रही हैं,1
किरदारों की बारीकियों को वह पर्दे पर ले आती हैं,1
उनके एक्‍सप्रेशन संतुलित और किरदार के मिजाज में होते हैं,1
निर्देशक शिवम नायर ने मिली हुई स्क्रिप्‍ट के साथ न्‍याय किया है,1
फिल्म में तर्क और विचार को परे कर दें तो यह रोचक फिल्म है,1
दिलजीत दोसांझ ने उनके चित्रांकन में जान डाल दी है,1
"हिंदी फिल्‍मों की लीक से हट कर बनी इस फिल्‍म में राजकुमार राव जैसे उम्‍दा अभिनेता हैं, जो विक्रमादित्‍य मोटवाणी की कल्‍पना की उड़ान को पंख देते हैं",1
उनकी यह कोशिश फिल्‍म को अलग ढंग से रोचक और मनोरंजक बनाती हैं,1
छोटे-बड़े शहर और मल्‍टीप्‍लेक्‍स-सिंगल स्‍क्रीन के दर्शक इसे पसंद करेंगे,1
उन्‍होंने बहुत खूबसूरती से झांसी के सामाजिक ढांचे में मौजूद जकड़न और आ रहे बदलाव का ताना-बाना बुना है,1
फिल्‍म अपना संदेश कह जाती है,1
शशांक खेतान ने किरदारों के बीच इमोशन की मात्रा सही रखी है,1
वरुण और आलिया दोनों पर्दे पर साथ होने पर अतिरिक्‍त आकर्षण पैदा करते हैं,1
फिल्‍म के अन्‍य किरदारों में आए कलाकार भी अपनी भूमिकाओं में सक्षम हैं,1
"उनके योगदान से ‘बद्रीनाथ की दुल्‍हनिया’ ऐसी रोचक,मनोरंजक और सार्थक हो पाई",1
बद्री के दोस्‍त के रूप में साहिल वैद का अलग से उल्‍लेख होना चाहिए,1
हिंदी फिल्‍मों के पारंपरिक किरदार ‘दोस्‍त’ को उन्‍होंने अच्‍छी तरह निभाया है,1
उनमें गजब की स्‍फूर्ति है। वे एक्‍शन दृश्‍यों में सक्षम और गतिशील,1
इस फिल्‍म का एक्‍शन प्रभावशाली है,1
आशुतोष राणा और अरबाज खान ने अपनी संजीदगी दिखाई है,1
आलिया के दोस्‍त एलेक्‍स के रूप में आए हिमांश कोहली‍ का व्‍यक्तित्‍व आकर्षक है,1
एक खूबसूरत फिल्म है,1
"एक बार फिर दोनों कलाकारों को बेहतरीन किरदार मिले हैं, जिन्हें पूरी संजीदगी से उन्होंने निभाया है",1
मिस जूलिया के रूप में कंगना रनोट आरंभिक दृश्यों में ही भा जाती हैं,1
इस फिल्म के गानों के फिल्मांकन में विशाल भारद्वाज ने भव्यता बरती है,1
उनकी भाव-भंगिमाओं में अनोखापन है,1
‘द गाजी अटैक’ में लेखक-निर्देशक ने सराहनीय सावधानी बरती है,1
लेखक दोनों के बीच चल रहे माइंड गेम को अच्छी तरह उकेरा है,1
"मुख्य कलाकारों केके मेनन,अतुल कुलकर्णी,राहुल सिंह और राणा डग्गुबाती ने उम्दा अभिनय किया है",1
‘इरादा’ कथ्य और मुद्दे के हिसाब से बेहतरीन और उल्लेखनीय फिल्म हैं,1
अक्षय कुमार की फिल्म 'जॉली एलएलबी 2' का इंतजार दर्शकों को बेसब्री से था।,1
क्योंकि 'जॉली एलएलबी' जो पहले आई थी उसमें अरशद वारसी के साथ दर्शकों ने काफी आनंद लिया था।,1
जब कहानी में नयापन ना हो तो स्क्रीनप्ले में उस तरह का नयापन लाना वाकई मुश्किल काम है,1
परफॉर्मेंस लेवल पर बात करें तो अक्षय कुमार ने जॉली का किरदार बहुत बेहतरीन ढंग से निभाया है,1
यह कथ्य प्रधान फिल्म है। लेखक व निर्देशक की ईमानदारी और साचे पर गौर करने की जरूरत है,1
रितिक रोशन को ‘काबिल’ लोकप्रियता के नए स्तर पर ले जाएगी,1
उनके दर्शकों का दायरा बढ़ाएगी,1
सभी घटनाओं और एक्शन में विश्वसनीय कल्पना है,1
उन्होंने रोहन के किरदार को सटीक रंग और ढंग्र दिया है,1
उन्होंने छोटे वाक्य और आज के शब्दों में भाव को बहुत अच्छी तरह व्यक्त किया है,1
सहयोगी कलाकारों में रोनित रॉय और रोहित रॉय सगे भाइयों की कास्टिंग जबरदस्त है,1
दोनों ने अपने किरदारों का ग्रे शेड अच्छी तरह पेश किया हैं,1
"निस्संदेह, शाह रुख खान ने कुछ अलग करने की कोशिश की हैं",1
"यह उस कसौटी पर तमाम कलाकारों, फिल्मकार और फिल्म से जुड़े हर विभाग के लोगों के अथक प्रयास से पूर्णत: खरी उतरी",1
यह मनोरंजन और मैसेज का मारक मिश्रण बन उभर और निखर कर सभी के सामने आई,1
