comment_text,Sentiment_Score
best say,2.0238
ok im confused ,0.0234
often confused,-0.778066667
recommend read first,0.733763636
hard tell,-0.4304
difficult accomdate,-1.4099
plus connectives,0
berasa comment yang bagus commentcomment yang status anda yang mulutnya berbuih membaca comment ini,0.291666667
many advantages,0.930733333
thats clearly false,0.4288
good ,1.493895238
well thats social flaw ,0.801258974
worst thing scholll,-1.903966667
feel encourage ,1.1462
funny part,0.6933
unfunny part,-0.25
great,1.541466667
schrimp sandwich great,1.541466667
friendly,0.9878
nice expensive,1.343
nice ugly,0.319
beautiful expensive,2.3863
big fan,0.774220513
yep did nice,1.770953846
shocked,-0.743542857
would great,1.541466667
dun think,0
underpaid,0
essentially exactly xmlid would,0.666666667
keputusan sebb kena mintak kelulusan bos saya,0
sebb bos saya kane tunggu kelulusan bos,0
maybe ,0
weywen tomorrow pm got guitar class right,0.119791667
guess happen,-0.225
time sleep,0.125
see tommorow,0.041666667
good physical health,1.788538095
suffering sick,-1.842109091
friendly,0.9878
friendly,0.9878
good health,1.806395238
mood,0
keeping prayer you,-0.003409091
best,1.8988
stress,-0.868
great fun fellowship,1.885616667
dun ask,0
encourage,1.0212
birthday celebration,0.041666667
fuck hahaa,-1.0846
sort amusing,1.48235
really crappy movie,-1.5718
tired sometimes talking,-0.78705
high chance get cancer,-0.846257143
im familiar,0.28125
guy alwways ffk lan,0
super simple file,1.490466667
machine crapped,0
get stuck,-0.489583333
standard rules,0.052083333
efficient representation best times though,2.5937
nie malas mengomen post ini pelihat pemerhati postpost mengomen status anda,-0.020833333
inconsistent since theyre disjoint,0
yes see,1.095466667
good summary,1.493895238
good work,1.511752381
sorry interrupt,-0.8038
worry,-0.6933
worry,-0.6933
build confidence,1.1712
negative comments,-1.727133333
im  close,0.1875
fair enough ,0.8614
better ask,1.2864
stalled ,-0.4046
fun,0.98995
thanks timbl learned new things,0.945193939
every member,0
ambitious would happier,1.5158
glorify,1.1438
ok ,0.592
think would interesting example atom ,1.157966667
tried nopaste tool sorry,0.31435
understand point,0.043269231
reasonably simple well known,1.138650749
well anyway thanks feedback,1.625492308
world interested,1.0538
ok thanks,1.6248
extremely low elevation,-0.8143
better get persuading ,1.296816667
think misunderstand purpose,-0.764066667
believe,0.1
get open office calc import text file,-0.088392857
whats good algorithm generating,1.493895238
good algorithm,1.493895238
svm best algorithm,1.8988
love cooking happy,2.82825
good program,1.493895238
 hopeless,-0.9176
test correctness relaxng schema,0.604166667
looks like need understand,0.6974
thats really good question,1.973495238
good idea,1.468895238
need make content providers actually understand rd,0.270918367
now say no ,-0.598493506
good,1.493895238
good morning ,1.493895238
well ,0.947092308
hehe,0
im surprised work,0.51212381
charging part didnt work,0.027857143
really make day,0.470918367
well us use,1.030425641
problem lots people,-1.166895238
sorry ,-0.1544
get many people that amazing already,1.119716667
looks like sounds interesting,1.544633333
negative test case ,-1.6313
oh see point thanks,0.922466667
hehhe good luck,2.115628571
amazing thing is firefox offers strongly recommended,2.407182051
dont like anything gui,-0.551
dont like guy,-0.551
guy sexual harrasment,0.208333333
lunch time,0.125
hope ,0.922466667
people onlineaccounts,0
query returned results,-0.1015625
responding,0.125
looking someone,0.0375
distracted foil run,-0.6175
nice shirt though,1.418
yet finished quite,-0.104166667
im working putting feedback writing introduction,0.068121693
advantage method web caches could reduce load central server,1.043154762
great improvement,2.134466667
got improvement,1.178016667
improvement,1.1676
amused,1.593
omg,0
could try likely fail,-1.119322222
im denying,-0.858571429
im denying,-0.858571429
bn tried offend like hell,-1.967338889
anyway ,0
well much specific question,1.122092308
yep thanks ,1.2498
hope helps ,1.413916667
get good paper get many readers web,1.514728571
get good paper get many readers web,1.514728571
hopefully soon,0.9288
congrats new job,0.979973427
added comment,-0.041666667
yes well exactly,1.739158974
well precludes need version umbers,0.863758974
mostly less annoying,-0.683
interesting people proposed,1.137133333
actively happy,2.4993
really dislikes,-0.8527
mustve fun,0.98995
encourage people define way,1.181616667
distracting,-0.6545
well anything goes full anyway,0.990842308
suspect problematic,-1.7498
would useful,0.8808
makes sense,0.195918367
doesn’t make sence,0.045918367
idea wanted use,-0.046428571
think theres chance using assign,0.708333333
strange,-0.4046
prefix  might good,0.8808
make emo,0.045918367
betray,-1.2738
mess,-0.826566667
thanks info thinking would that,1.015415385
temporal aspects excellent,2.0438
becomes meaningful,0.7614
itd less ambigious,0
great ,1.541466667
prefer web guis,0.053571429
hm interesting question,1.137133333
great thanks masaka ,1.872866667
looks good  framework,1.493895238
cool extension,0.782233333
yes agreed time ago ,1.778942857
persuaded ,0
great ,1.541466667
np good luck,2.311228571
well large group project class,1.219413736
verrry amazin,0
yellow pages usually capture business data,-0.229166667
id tell look titan,0.010416667
im bit confused though,-0.959127273
probably need get familiar rdf data model,0.361111111
sorry budget,-0.1544
sorry time,-0.4669
would good write interesting observations plumbing im using audience though,2.608028571
interesting may well,1.1718
thats great im interested getting work someone takes,2.135469048
im publishing events using events ontology,0.333333333
suggestion welcome,1.209266667
mentionned official tutorial,0.05
thanks advance tips ideas,0.995383333
best,1.8988
blacklisted vpn ip,0
thats good,1.493895238
no realistic one ,-0.675333333
belive kind weird everybody free belive weant end,1.020133333
weird valid hypothesis,-0.4183
oh way food fridge,-0.03125
fuck babe miss sooooo much ,-1.333133333
sounds like many talents,1.4035
make happy,1.752218367
bad days give experience,-1.671775325
good boyfriend,1.493895238
good girlfriend,1.493895238
perfect boyfriend,1.7688
perfec girlfriend,0
essential life gods blessings,1.358707143
going,0.0125
sb,0
awww sweet,0.9176
many people complaint,-0.592
enough money purchase,0.15625
feel shirt beautiful,1.3238
broken jor,-1.126476923
syndrome,-0.0625
commit sucide,0.592
,0
gd luck,0.9801
thk mum lazy go,-0.418233333
prefer free days,1.092033333
beh tahan,0
behtahan,0
cannot tahan,0
jokin lar ,0
get well soon,0.832508974
better quickly go bathe settle,1.2989
oh ok prob,0.967
quite nice,1.5258
okie,0
really bored msg,-0.2393
thinking,0.134615385
tdy cannot call k,-0.017857143
got rush lab report,0.010416667
eh angry wif already,-1.229533333
lousy pig easily,-1.067233333
dun fall asleep,-0.052083333
yup interested,1.0538
even brother like speak,0.7224
treat like aids patent,1.61755
great hope like well endowed,2.453525641
never realized embarassed accomodations,-0.291666667
thought liked it,1.14925
best,1.8988
always seemed happy,1.8063
sorry room embarassing,-0.49815
sorry roommates took forever,-0.145471429
thats cool,0.6364
like peoples much,0.8974
like peoples much shy,0.431
thanks making birthday truly memorable,1.821518367
thanks lot wishes birthday,1.200671429
envy everyone sees real life,-0.410487302
jealous everyone sees real life,-0.948353968
im excited day spend,0.7925
im love,1.86755
bloody hell cant believe forgot surname,-2.076866667
kkgoodstudy well,0.947092308
god bless,1.23005
go hell,-1.765766667
im touched,-0.008333333
awesome ill see bit,1.155339394
merry christmas babe love kisses,2.060616667
kissed,0.7636
good sign,1.527986147
ever angry,-1.354533333
oh ok prob,0.967
sure worry,-0.089477778
hey leave it big deal,-0.033831868
,0
spoil dun get close anymore,0.15625
sharing happy news,2.2033
glorify lord,1.1438
open people ive ever,-0.148809524
put pictures ass facebook,-1.1221
fancy drink,-0.158333333
interested buying something,1.0538
hahahause brain dear,0.9761
brainless,0
trying weekend,0.027777778
still havent got urself jacket ah,-0.289583333
know best get babe,2.001072727
love babe,1.502966667
bitch,-1.3593
soany suggestions,-0.020833333
total disappointment texted craziest shit got ,-2.31895
no dont hear anything,-0.592
went project centre,0.040277778
gods love limit,1.8363
please you,0.6364
gods power boundaries,0.017361111
endless blessings always ur life,1.221207143
make happy person love,2.509585034
great role model,1.610911111
big chic common declare,1.066887179
fuck ass hole,-1.673213889
dick small,-1.3337
love angela,1.502966667
tell bad feel basically times text lately need drugs,-1.060790476
wish happiness soon company share moments,2.114366667
indians nice,1.418
feeling like moodless,0.936830769
feel like shit,-0.650566667
feel like sick,-0.2796
thats great,1.541466667
god bless,1.23005
wish rejoice soul,1.3616
sorry ill call later,-0.943784615
guy bitching,-0.5464
haiz today cant well midterm,0.051792308
chill bro,-0.15625
r happy,1.7063
need show happy,1.67505
suffering depression feeling like mask meet,-1.674728322
finish,0.069444444
btw recommend using diploma qualifications,0.805733333
hi looking promoter job,-0.058653846
sorry going,-0.1419
dun like,0.7224
dun like,0.7224
dun like anymore,0.7224
dun like forever,0.7224
love forever,1.502966667
disagreement,-0.7224
lets pray,0.6364
unhappy,-1.5305
mum cancer,-1.3444
mum healed,0.541666667
speedy recovery,-0.166666667
promise tell anyone,0.5739
well lets make something simple represent work,0.975153532
problem create another cv way,-0.58745
wont fuck anymore,0.862
wtf,-1.1718
think good,1.628510623
 feel satisfied,1.301333333
mom yelling,0.375
fell pouting,-0.142857143
life piece shit,-1.316494139
shut mouth mother fucker,-1.3597
perferct,0
pretty good,1.941895238
love work,1.52082381
good day,1.543895238
awesome,1.2498
unfriend already,0.125
blocked facebook,-0.6167125
unblock,0
wow amazing,1.3325
wow wonderfull,1.0468
hopefully dead soon,-0.947423529
canteen service suck,-0.8808
thanx helping,0.62325
forgive,0.5464
life suck,-0.862942857
dun wan group,0
kill,-1.3816
guy cool,0.4489
wen ur lovable bcums angry wid,0.647466667
coz angry childish true way showing deep affection,0.439133333
anything tell,0
evil cast,-1.736066667
demon processed,0.004333333
useless,-0.843
mother fucker,-1.3597
diu nia sing bai,0.025
diu many work,0.017857143
pokai havent,0
fck,0
fk,0
womdarfull person,0
see mad,-0.946133333
really good friends im afraid ,2.089095238
dont go watch x lunch,0.0125
good envionment,1.493895238
perfect environment,1.7688
fastest services never seen,-0.270833333
hi dahow todays class,0.09375
cool text,0.4489
dun wor,0
bullshit,-1.5468
frustrating hear bull shit,-1.852921212
cool cool chikku chikku,1.073133333
wan catch pokemon later,-0.445833333
fell stress subject,-0.885857143
feel stress assignment,-0.743
feels bad,-1.602457143
fells suck,-0.952228571
tt,0
,0
stupid,-1.470066667
fuk,0
cibai,0
fuker,0
lc,0
fucking lansi,0.25
got problem,-1.08505
problem cannot solve,-1.310266667
solve problem,-0.744266667
hard solve,0.0179
depressions,-1.1378
disappointment,-1.3962
displeasure,-0.5
dissatisfactions,-1.2558
failure,-1.235485714
gloom,-1.323133333
hurt,-1.5034
injury,-1.118
melancholy,-1.422466667
misery,-1.5188
pain,-1.5462
sadness,-1.6308
sorrow,-1.5534
trouble,-1.032966667
unhappiness,-1.7409
anger,-1.560466667
fury,-1.30005
frustrated,-1.1159
fck,0
fuck,-1.0846
brokenheart,0
facewithmedicalmask,0
pileofpoo,0
cryingface,0
facewithcoldsweat,0
loudlycryingface,0
cryingcatface,0
facewithopenmouthcoldsweat,0
fearfulface,0
facewithsteamfromnose,0
poutingface,0
depress,-0.9878
stress,-0.868
unsatisfied,-1.4913
unsatisfy,0
unsatisfy,0
social disorder,-1.032966667
clicnical depression,-1.2938
fuck bitch,-1.8023
let know need help talk people,0.822739394
god testing faith,1.319335714
left pray,0.609614286
whole day  got little bit tired,-0.694085606
serious condition,-0.159608333
worst condition,-1.805008333
r welcome,1.2301
healed,0.25
arrived home,0.027777778
reach home,0.204377778
pray,0.6364
lets pray penang citizens,0.6364
taking,0.008928571
heart brokens brokenheart,1.3738
overcome difficult,-1.4099
cannot overcome difficult,0.01975
lunch outside,0
lunch home,0.027777778
dinner outside,0
yupis surprise,0.463066667
curse,-1.6096
curse faster,-1.6096
curse kaokao,-1.6096
fuck kaokako,-1.0846
lanjiao,0
lancaw,0
go yum cha,0.0125
free yum cha,0.729533333
later yumcha,0
depresssion medicine fucking expensive,0.8125
,0
oh okay,0.4526
oh okie,0
sorry wan early sleep,-0.571066667
tmr got anything ,0.010416667
thing talk,-0.070833333
nonsence guy,0
nonsence lecturer,0
great see,1.541466667
today sleep late already,0.089285714
heart become piece brokenheart,1.40505
sick facewithmedicalmask,-1.342628571
pieces shit pileofpoo,-1.230184615
heart broken cryingface,0.633688136
fucking regret facewithcoldsweat,-0.7008
fucking sad loudlycryingface,-1.4262
facewithopenmouthcoldsweat,0
feel scare fearfulface,-0.9878
facewithsteamfromnose,0
poutingface,0
sometimes assgiment feel depress,-0.8628
emo,0
emo alread,0
always emo fails,-0.868
sure ,0.6364
dun scare,-1.1128
see,0.041666667
coming,0.029761905
coming,0.029761905
later gathering friends,1.0284
later watch cinema,0
god bless,1.23005
pray,0.6364
go catch ,0.025
gam,0
feel gam korean drama,0.4375
may disappear church period time,-0.497242857
lili serious depression,-1.458133333
diu lou mou chou,-0.083333333
diu nia sing,0
fuking shit,-1.892366667
drama feel gamdong,0.4375
pileofpoopileofpoopileofpoopileofpoopileofpoo,0
teammate piece shit,-1.334351282
girl pretty,1.0128
hometown beautiful,1.8863
depress,-0.9878
stress,-0.868
unsatisfied,-1.4913
unsatisfy,0
social disorder,-1.032966667
lost love  heart broken,1.691277273
lost love  heart broke piece,1.760580793
fuck life ,-1.066742857
life full depress shit,-1.736659524
diu  tutor,0
dun get messs,-0.104166667
blueheart,0
clappinghands,0
facewithstuckouttongueclosedeyes,0
facewithstuckouttonguewinkingeye,0
kissingfacewithsmilingeyes,0
kissingface,0
smilingfacewithhearteyes,0
facesavouringdeliciousfood,0
smilingfacewithopenmouthsmilingeyes,0
smilingfacewithopenmouthcoldsweat,0
facewithtearsofjoy,0
nice movie scence,1.418
great personn,1.541466667
awesome skills,2.1873
stole heart,1.3738
awesome works,2.017657143
refresh,0
reparation,-0.25
reward,1.2688
satiety,-0.625
comfort,0.454542857
safe,1.0683
blessing form indonesia,0.9487375
gambateh,0
feeling like satisfication,0.936830769
love since form ,1.526404167
love korea,1.86755
work like shit,-0.757709524
grammar sucks,-0.7224
thesis topic,0
need,-0.0625
sons worriedface,0
angryface,0
may disappear company period time,-0.497242857
personal problem,-0.995466667
personal issue,0.111363636
guy problematic,-1.1308
tap info,0.015625
need help,0.8038
arbudan  need help,0.782966667
pla dota,0
im ask happened need help u let know,0.795656061
feel nothing,0.125
sad,-0.9534
sad,-0.9534
kd emo  approach,0.055555556
hard get pokeball,-0.3929
driving skill good get poke stop time,1.304122511
tomorrow joshua hall,-0.0625
tmr free,0.729533333
help pls,0.9801
later saturday together catch,0.021551724
doktor based case say syndrome,-0.038636364
sister syndrome,-0.0625
haha,0.9176
lolz  funny,1.53
lolz  funny,1.53
well,0.947092308
keep prayer,-0.003409091
pray nation,0.6364
btw long go once,0.0125
month meet doctor,0
almost  month follow,0
oh ok,0.592
hope goes well tomorrow,1.617158974
pkhkc,0
hope goes well today,1.742158974
hope goes well next monday,1.637992308
quite sad cant accept truth,-1.9318
feel hopeless world,-1.2301
quite sad wanna cry,-2.226
would like,1.1224
tt,0
house kena flood,-0.041666667
lung cancer,-1.3444
got skin cancer,-1.333983333
got bone cancer,-1.37565
cancer cannot heal,-1.5944
feelng world fucking suck wanna,-0.7354
lecturer fucking idiot,-0.9876
fcking shit,-1.343966667
disease cannot heal,-0.125
doktor dianogse blood cancer,-1.3444
give times clam,0.125
clam please,0.6364
understand,0
understand,0
ok raymond,0.967
okie johnson,0
,0
feeling sad,-0.744369231
may hard may think problem,-1.110451282
busy,0
today feeling well,1.185125641
accept another then christ accepted you order bring praise god,2.202098485
received praise ppl,1.701338462
welcome back ready,1.441
great hear,1.541466667
wow best,2.1804
quite scare many friendsbrothersister know asperger,-0.980327273
scare cannot accepted true,-1.448692424
welcome back ready,1.441
good boy,1.525145238
know hard dun lose hope,-0.374033333
know fcking hard,-0.290627273
good communicator hard,1.147995238
hard,-0.3929
feeling stress communicate,-0.642169231
depression feeling like mask meet,-0.517819231
wearing mask hard thing,-0.4554
wearing mask hard thing,-0.4554
think going better,1.2989
keep update k,-0.028409091
already,0.125
sometimes feel ignorance youth,-0.161502564
strong feeling forsaken youth,0.8718
fcking hate,-1.3938
welcome back good condition,2.110420238
need show yr happy,1.67505
okokokok,0
okok,0
sleep tha two hours feel tired,-0.924069231
understand frustration,-1.161733333
biggest sad thing,-1.503079487
great know,1.643739394
suffering depression,-2.047509091
tought,0
got serve phileo,0.010416667
ifine,0
make happy interact,1.752218367
keep,-0.028409091
r welcome,1.2301
thank much,0.7224
cute,0.9176
cool,0.4489
funny,0.8808
feel like happy,2.1577
wud like invite early sat,0.911733333
tq raymond part phileo family,0
pray would get bless,1.260216667
nxt time detail pls send thx,1.02425
wrong info,-1.550622222
wrong idetails pls,-1.440222222
blessed birthday,1.1363
happy birthday,1.7063
fail pray worry,-1.0623
best friend,2.3252
good morning,1.493895238
lina loves,1.372966667
happy polla,1.7063
beautiful handsome,2.2803
picture creative,1.0308
china model attactive,0.194444444
phone awesome,1.2498
